contractSymbol,lastTradeDate,volume,strike,bid,ask,lastPrice,call_put,exp_date
PLUG210910C00026000,2021-09-03 19:57:49,503.0,26.0,0.0,0.0,0.91,call,2021-09-10
PLUG210910C00026500,2021-09-03 19:59:48,1240.0,26.5,0.0,0.0,0.65,call,2021-09-10
PLUG210910C00027000,2021-09-03 19:59:38,1372.0,27.0,0.0,0.0,0.45,call,2021-09-10
PLUG210910C00027500,2021-09-03 19:59:55,1846.0,27.5,0.0,0.0,0.32,call,2021-09-10
PLUG210910C00028000,2021-09-03 19:57:02,2059.0,28.0,0.0,0.0,0.21,call,2021-09-10
PLUG210910C00028500,2021-09-03 19:58:49,1622.0,28.5,0.0,0.0,0.15,call,2021-09-10
PLUG210910C00029000,2021-09-03 19:59:36,479.0,29.0,0.0,0.0,0.11,call,2021-09-10
PLUG210910C00029500,2021-09-03 19:39:20,117.0,29.5,0.0,0.0,0.1,call,2021-09-10
PLUG210910C00030000,2021-09-03 19:51:33,502.0,30.0,0.0,0.0,0.08,call,2021-09-10
PLUG210910C00031000,2021-09-03 19:44:49,120.0,31.0,0.0,0.0,0.06,call,2021-09-10
PLUG210910C00032000,2021-09-03 19:42:37,105.0,32.0,0.0,0.0,0.05,call,2021-09-10
PLUG210910C00033000,2021-09-03 19:41:20,4.0,33.0,0.0,0.0,0.03,call,2021-09-10
PLUG210910C00034000,2021-09-03 18:25:14,68.0,34.0,0.0,0.0,0.04,call,2021-09-10
PLUG210910C00035000,2021-09-03 19:42:25,26.0,35.0,0.0,0.0,0.03,call,2021-09-10
PLUG210910C00036000,2021-09-03 19:24:01,306.0,36.0,0.0,0.0,0.03,call,2021-09-10
PLUG210910C00037000,2021-09-03 17:03:43,100.0,37.0,0.0,0.0,0.04,call,2021-09-10
PLUG210910C00038000,2021-09-03 16:13:07,200.0,38.0,0.0,0.0,0.04,call,2021-09-10
PLUG210910C00039000,2021-09-03 18:53:21,212.0,39.0,0.0,0.0,0.02,call,2021-09-10
PLUG210910C00040000,2021-09-03 18:27:40,101.0,40.0,0.0,0.0,0.02,call,2021-09-10
PLUG210910C00045000,2021-09-03 13:38:04,1.0,45.0,0.0,0.0,0.02,call,2021-09-10
PLUG210910P00026000,2021-09-03 19:59:01,1052.0,26.0,0.0,0.0,0.49,put,2021-09-10
PLUG210910P00026500,2021-09-03 19:48:42,689.0,26.5,0.0,0.0,0.75,put,2021-09-10
PLUG210910P00027000,2021-09-03 19:48:56,846.0,27.0,0.0,0.0,1.05,put,2021-09-10
PLUG210910P00027500,2021-09-03 18:15:38,2045.0,27.5,0.0,0.0,1.5,put,2021-09-10
PLUG210910P00028000,2021-09-03 19:56:30,1126.0,28.0,0.0,0.0,1.82,put,2021-09-10
PLUG210910P00028500,2021-09-03 15:33:31,1.0,28.5,0.0,0.0,2.33,put,2021-09-10
PLUG210910P00029000,2021-09-03 19:15:26,105.0,29.0,0.0,0.0,2.79,put,2021-09-10
PLUG210910P00029500,2021-09-02 13:38:27,3.0,29.5,3.15,3.25,2.66,put,2021-09-10
PLUG210910P00030000,2021-09-03 19:46:31,37.0,30.0,0.0,0.0,3.66,put,2021-09-10
PLUG210910P00031000,2021-09-03 15:25:15,51.0,31.0,0.0,0.0,4.8,put,2021-09-10
PLUG210910P00032000,2021-09-03 18:25:30,20.0,32.0,0.0,0.0,5.74,put,2021-09-10
PLUG210910P00033000,2021-09-03 17:00:58,1.0,33.0,0.0,0.0,6.58,put,2021-09-10
PLUG210910P00034000,2021-08-30 15:58:52,17.0,34.0,7.6,7.75,8.0,put,2021-09-10
PLUG210910P00035000,2021-08-31 16:04:19,8.0,35.0,8.5,9.1,8.92,put,2021-09-10
PLUG210910P00036000,2021-08-25 14:39:20,10.0,36.0,9.55,9.9,9.74,put,2021-09-10
PLUG210910P00037000,2021-09-03 14:06:07,27.0,37.0,0.0,0.0,10.3,put,2021-09-10
PLUG210910P00038000,2021-08-31 15:52:32,1.0,38.0,11.55,11.95,11.77,put,2021-09-10
PLUG210910P00040000,2021-08-31 16:04:50,38.0,40.0,13.55,14.15,13.86,put,2021-09-10
PLUG210910P00045000,2021-08-30 13:44:20,1.0,45.0,18.55,19.2,19.05,put,2021-09-10
PLUG210917C00012500,2021-09-01 15:13:00,1.0,12.5,13.85,14.25,14.8,call,2021-09-17
PLUG210917C00015000,2021-09-01 18:56:58,17.0,15.0,11.35,11.65,11.88,call,2021-09-17
PLUG210917C00017000,2021-09-02 16:19:11,,17.0,9.35,9.45,10.55,call,2021-09-17
PLUG210917C00020000,2021-09-03 13:42:20,11.0,20.0,0.0,0.0,7.0,call,2021-09-17
PLUG210917C00021000,2021-08-27 14:50:04,4.0,21.0,5.4,5.95,5.7,call,2021-09-17
PLUG210917C00021500,2021-08-31 13:54:14,1.0,21.5,4.95,5.9,5.25,call,2021-09-17
PLUG210917C00022000,2021-09-03 19:53:15,3.0,22.0,0.0,0.0,4.59,call,2021-09-17
PLUG210917C00022500,2021-09-01 16:46:08,9.0,22.5,4.0,4.25,4.7,call,2021-09-17
PLUG210917C00023000,2021-09-01 14:35:30,1.0,23.0,3.55,3.75,4.4,call,2021-09-17
PLUG210917C00024000,2021-09-03 17:05:22,94.0,24.0,0.0,0.0,2.82,call,2021-09-17
PLUG210917C00024500,2021-09-03 15:02:52,13.0,24.5,0.0,0.0,2.59,call,2021-09-17
PLUG210917C00025000,2021-09-03 19:58:04,1476.0,25.0,0.0,0.0,1.94,call,2021-09-17
PLUG210917C00025500,2021-09-03 19:16:39,50.0,25.5,0.0,0.0,1.58,call,2021-09-17
PLUG210917C00026000,2021-09-03 19:44:56,267.0,26.0,0.0,0.0,1.33,call,2021-09-17
PLUG210917C00026500,2021-09-03 19:56:26,140.0,26.5,0.0,0.0,1.08,call,2021-09-17
PLUG210917C00027000,2021-09-03 19:55:48,292.0,27.0,0.0,0.0,0.88,call,2021-09-17
PLUG210917C00027500,2021-09-03 19:57:03,214.0,27.5,0.0,0.0,0.71,call,2021-09-17
PLUG210917C00028000,2021-09-03 19:59:25,320.0,28.0,0.0,0.0,0.59,call,2021-09-17
PLUG210917C00028500,2021-09-03 19:53:40,191.0,28.5,0.0,0.0,0.5,call,2021-09-17
PLUG210917C00029000,2021-09-03 19:58:39,985.0,29.0,0.0,0.0,0.42,call,2021-09-17
PLUG210917C00029500,2021-09-03 19:56:02,118.0,29.5,0.0,0.0,0.36,call,2021-09-17
PLUG210917C00030000,2021-09-03 19:49:58,3293.0,30.0,0.0,0.0,0.31,call,2021-09-17
PLUG210917C00031000,2021-09-03 19:32:58,146.0,31.0,0.0,0.0,0.25,call,2021-09-17
PLUG210917C00032000,2021-09-03 19:46:31,278.0,32.0,0.0,0.0,0.2,call,2021-09-17
PLUG210917C00033000,2021-09-03 19:43:58,1477.0,33.0,0.0,0.0,0.17,call,2021-09-17
PLUG210917C00034000,2021-09-03 19:33:37,26.0,34.0,0.0,0.0,0.15,call,2021-09-17
PLUG210917C00035000,2021-09-03 19:59:17,234.0,35.0,0.0,0.0,0.14,call,2021-09-17
PLUG210917C00040000,2021-09-03 19:47:09,895.0,40.0,0.0,0.0,0.09,call,2021-09-17
PLUG210917C00045000,2021-09-03 19:56:39,144.0,45.0,0.0,0.0,0.06,call,2021-09-17
PLUG210917C00050000,2021-09-03 19:45:33,253.0,50.0,0.0,0.0,0.03,call,2021-09-17
PLUG210917C00055000,2021-09-03 16:24:22,8.0,55.0,0.0,0.0,0.03,call,2021-09-17
PLUG210917C00060000,2021-09-03 18:24:45,8.0,60.0,0.0,0.0,0.02,call,2021-09-17
PLUG210917C00065000,2021-09-02 17:35:48,18.0,65.0,0.01,0.02,0.02,call,2021-09-17
PLUG210917C00070000,2021-09-03 16:55:26,86.0,70.0,0.0,0.0,0.01,call,2021-09-17
PLUG210917C00075000,2021-09-02 17:14:15,6.0,75.0,0.01,0.02,0.02,call,2021-09-17
PLUG210917C00080000,2021-09-02 19:14:58,4.0,80.0,0.0,0.03,0.01,call,2021-09-17
PLUG210917C00085000,2021-08-27 19:45:45,3.0,85.0,0.0,0.03,0.01,call,2021-09-17
PLUG210917C00090000,2021-08-27 18:32:26,1.0,90.0,0.0,0.03,0.01,call,2021-09-17
PLUG210917C00095000,2021-08-27 19:45:48,1.0,95.0,0.0,0.19,0.01,call,2021-09-17
PLUG210917C00100000,2021-08-27 19:45:33,4.0,100.0,0.0,0.01,0.01,call,2021-09-17
PLUG210917C00105000,2021-08-19 18:06:35,1.0,105.0,0.0,0.03,0.01,call,2021-09-17
PLUG210917P00012500,2021-08-25 17:38:05,,12.5,0.0,0.19,0.02,put,2021-09-17
PLUG210917P00015000,2021-09-03 16:54:48,1.0,15.0,0.0,0.0,0.01,put,2021-09-17
PLUG210917P00017000,2021-09-03 16:59:38,6.0,17.0,0.0,0.0,0.02,put,2021-09-17
PLUG210917P00018000,2021-09-03 18:41:20,4.0,18.0,0.0,0.0,0.03,put,2021-09-17
PLUG210917P00019000,2021-09-03 17:20:53,4.0,19.0,0.0,0.0,0.03,put,2021-09-17
PLUG210917P00020000,2021-09-03 18:00:44,2839.0,20.0,0.0,0.0,0.05,put,2021-09-17
PLUG210917P00021000,2021-09-03 17:18:31,7.0,21.0,0.0,0.0,0.08,put,2021-09-17
PLUG210917P00021500,2021-09-03 14:13:44,2.0,21.5,0.0,0.0,0.1,put,2021-09-17
PLUG210917P00022000,2021-09-03 18:40:19,335.0,22.0,0.0,0.0,0.12,put,2021-09-17
PLUG210917P00022500,2021-09-03 15:46:58,97.0,22.5,0.0,0.0,0.17,put,2021-09-17
PLUG210917P00023000,2021-09-03 17:44:10,128.0,23.0,0.0,0.0,0.19,put,2021-09-17
PLUG210917P00024000,2021-09-03 19:22:48,635.0,24.0,0.0,0.0,0.32,put,2021-09-17
PLUG210917P00024500,2021-09-03 17:41:30,226.0,24.5,0.0,0.0,0.44,put,2021-09-17
PLUG210917P00025000,2021-09-03 19:53:06,1635.0,25.0,0.0,0.0,0.54,put,2021-09-17
PLUG210917P00025500,2021-09-03 19:16:35,189.0,25.5,0.0,0.0,0.75,put,2021-09-17
PLUG210917P00026000,2021-09-03 19:49:57,216.0,26.0,0.0,0.0,0.93,put,2021-09-17
PLUG210917P00026500,2021-09-03 19:54:24,125.0,26.5,0.0,0.0,1.17,put,2021-09-17
PLUG210917P00027000,2021-09-03 19:05:43,120.0,27.0,0.0,0.0,1.52,put,2021-09-17
PLUG210917P00027500,2021-09-03 17:39:31,30.0,27.5,0.0,0.0,1.82,put,2021-09-17
PLUG210917P00028000,2021-09-03 19:02:39,29.0,28.0,0.0,0.0,2.28,put,2021-09-17
PLUG210917P00028500,2021-09-03 15:28:55,6.0,28.5,0.0,0.0,2.58,put,2021-09-17
PLUG210917P00029000,2021-09-03 15:28:20,3.0,29.0,0.0,0.0,3.09,put,2021-09-17
PLUG210917P00029500,2021-09-03 13:41:09,1.0,29.5,0.0,0.0,3.2,put,2021-09-17
PLUG210917P00030000,2021-09-03 19:59:30,29.0,30.0,0.0,0.0,3.9,put,2021-09-17
PLUG210917P00031000,2021-09-03 18:32:21,18.0,31.0,0.0,0.0,4.91,put,2021-09-17
PLUG210917P00032000,2021-09-03 16:56:05,6.0,32.0,0.0,0.0,5.69,put,2021-09-17
PLUG210917P00033000,2021-09-03 17:02:58,25.0,33.0,0.0,0.0,6.75,put,2021-09-17
PLUG210917P00034000,2021-09-03 14:14:05,1.0,34.0,0.0,0.0,7.44,put,2021-09-17
PLUG210917P00035000,2021-09-03 19:24:28,38.0,35.0,0.0,0.0,8.75,put,2021-09-17
PLUG210917P00040000,2021-09-03 18:00:44,11.0,40.0,0.0,0.0,13.65,put,2021-09-17
PLUG210917P00045000,2021-09-03 14:20:43,6.0,45.0,0.0,0.0,18.28,put,2021-09-17
PLUG210917P00050000,2021-09-03 17:06:15,7.0,50.0,0.0,0.0,23.5,put,2021-09-17
PLUG210917P00055000,2021-09-03 17:33:02,2.0,55.0,0.0,0.0,28.67,put,2021-09-17
PLUG210917P00060000,2021-09-03 17:54:38,2.0,60.0,0.0,0.0,33.75,put,2021-09-17
PLUG210917P00065000,2021-09-02 15:04:35,8.0,65.0,38.55,39.0,37.81,put,2021-09-17
PLUG210917P00070000,2021-09-03 17:44:04,6.0,70.0,0.0,0.0,43.61,put,2021-09-17
PLUG210917P00075000,2021-08-30 14:07:02,3.0,75.0,48.45,49.05,49.37,put,2021-09-17
PLUG210917P00080000,2021-08-27 17:43:10,9.0,80.0,53.45,54.05,53.29,put,2021-09-17
PLUG210917P00085000,2021-08-17 14:33:09,4.0,85.0,58.3,59.05,59.8,put,2021-09-17
PLUG210917P00090000,2021-08-23 14:42:21,5.0,90.0,63.55,63.9,65.28,put,2021-09-17
PLUG210917P00095000,2021-08-23 14:42:21,6.0,95.0,68.3,69.25,70.2,put,2021-09-17
PLUG210917P00100000,2021-08-24 19:55:09,10.0,100.0,73.55,73.8,74.0,put,2021-09-17
PLUG210917P00105000,2021-08-31 13:31:23,3.0,105.0,77.1,80.25,78.8,put,2021-09-17
PLUG210924C00022000,2021-09-03 19:05:54,1.0,22.0,0.0,0.0,4.56,call,2021-09-24
